"config","timestamp","file_name","audio_duration_seconds","model_size","cold_start_seconds","transcription_seconds","rtf","peak_working_set_mb","transcript_char_count","runtime_used","error","gt_available","wer","cer","gt_word_count"
"default","2026-04-27T04:53:17.8232281Z","1_0000.wav","3.527","Tiny","0.544","0.099","0.0281","204","21","reported_cuda=true;reported_vulkan=true","","true","0.1667","0.1250","6"
"default","2026-04-27T04:53:17.9462615Z","1_0069.wav","3.731","Tiny","0.000","0.094","0.0253","204","22","reported_cuda=true;reported_vulkan=true","","true","0.1667","0.1875","6"
"default","2026-04-27T04:53:18.0625076Z","1_0138.wav","4.157","Tiny","0.000","0.087","0.0210","205","24","reported_cuda=true;reported_vulkan=true","","true","0.5000","0.0556","8"
"default","2026-04-27T04:53:18.1811322Z","1_0207.wav","4.311","Tiny","0.000","0.088","0.0204","207","20","reported_cuda=true;reported_vulkan=true","","true","0.5000","0.0625","6"
"default","2026-04-27T04:53:18.7244080Z","1_0276.wav","3.135","Tiny","0.000","0.516","0.1645","214","32","reported_cuda=true;reported_vulkan=true","","true","1.0000","1.8462","5"
"default","2026-04-27T04:53:18.8606890Z","1_0345.wav","4.745","Tiny","0.000","0.109","0.0230","245","28","reported_cuda=true;reported_vulkan=true","","true","0.3750","0.2500","8"
"default","2026-04-27T04:53:18.9801637Z","1_0414.wav","3.725","Tiny","0.000","0.093","0.0250","245","21","reported_cuda=true;reported_vulkan=true","","true","0.1667","0.1333","6"
"default","2026-04-27T04:53:19.0922880Z","1_0483.wav","2.734","Tiny","0.000","0.087","0.0317","245","13","reported_cuda=true;reported_vulkan=true","","true","0.3333","0.0909","3"
"default","2026-04-27T04:53:19.2081623Z","1_0552.wav","2.618","Tiny","0.000","0.088","0.0337","246","15","reported_cuda=true;reported_vulkan=true","","true","0.3333","0.0000","6"
"default","2026-04-27T04:53:19.3679347Z","1_0621.wav","2.662","Tiny","0.000","0.134","0.0502","246","19","reported_cuda=true;reported_vulkan=true","","true","0.3333","0.2500","6"
